model_class,config_repr,mean_rho,std_rho,mean_mae
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 5}",0.202198,0.010634,363.889789
xgboost,"{'n_estimators': 800, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 10}",0.218988,0.011058,353.790485
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1}",0.150567,0.016060,337.535454
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5}",0.194490,0.018823,370.369987
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10}",0.212752,0.015016,355.720414
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1}",0.144066,0.014641,336.514262
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5}",0.190231,0.015126,376.804664
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 10}",0.210148,0.010825,365.480238
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 1}",0.136974,0.015520,334.991596
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5}",0.187571,0.016712,379.616111
xgboost,"{'n_estimators': 800, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 10}",0.195868,0.015154,371.930374
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1}",0.131969,0.010876,345.318655
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5}",0.182603,0.012887,386.804522
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 10}",0.192090,0.017235,371.534450
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1}",0.124621,0.013289,340.645696
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5}",0.178714,0.015618,393.466551
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 10}",0.187051,0.015739,384.800765
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 1}",0.133574,0.013702,337.989284
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 5}",0.176460,0.016596,392.381454
xgboost,"{'n_estimators': 800, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10}",0.178101,0.011236,390.246352
