model_class,config_repr,mean_rho,std_rho,mean_mae
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 10}",0.227954,0.018118,347.148377
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 20}",0.226788,0.013207,348.397324
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 50}",0.219900,0.015291,350.371036
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 10}",0.218201,0.020834,353.460125
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 20}",0.209802,0.016588,356.131483
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 50}",0.214469,0.011289,357.805078
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 10}",0.208652,0.014868,360.898494
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 20}",0.206063,0.017509,362.247350
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 50}",0.203088,0.009492,368.371336
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 10}",0.232788,0.012056,338.021040
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 20}",0.232557,0.011769,338.834449
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 50}",0.227951,0.011809,340.831960
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 10}",0.233239,0.012554,340.607804
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 20}",0.230366,0.014243,341.674640
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 50}",0.226532,0.011274,344.252644
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 10}",0.229329,0.014497,343.712487
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 20}",0.226931,0.014986,345.118232
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 50}",0.221064,0.013908,348.797241
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 10}",0.227760,0.010569,346.089839
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 20}",0.223048,0.013900,347.173171
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 50}",0.224107,0.017299,348.929954
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 10}",0.223518,0.017039,350.917818
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 20}",0.215165,0.017208,352.489853
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 50}",0.214786,0.010143,355.816192
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 10}",0.213608,0.018223,356.423595
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 20}",0.211533,0.016420,359.453740
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 50}",0.207547,0.009224,364.359981
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 10}",0.219426,0.017303,355.561842
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 20}",0.213749,0.012664,356.778241
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 50}",0.212096,0.015898,359.621349
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 10}",0.211294,0.020757,363.322560
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 20}",0.200055,0.011058,366.698803
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 50}",0.200086,0.011268,370.451036
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 10}",0.196911,0.011603,372.008585
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 20}",0.193573,0.014098,375.151995
lightgbm,"{'n_estimators': 400, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 50}",0.193415,0.009732,382.698804
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 10}",0.230176,0.013762,343.603542
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 20}",0.229027,0.012318,344.329620
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 50}",0.226191,0.013442,346.587064
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 10}",0.227247,0.012542,347.271270
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 20}",0.223499,0.013469,348.678828
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 50}",0.219189,0.011832,351.530500
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 10}",0.222792,0.016858,351.460076
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 20}",0.221733,0.014271,353.469121
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 50}",0.210121,0.012045,358.794989
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 10}",0.218842,0.013297,353.885241
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 20}",0.215608,0.011948,356.228052
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 50}",0.212885,0.018019,358.410504
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 10}",0.212431,0.016899,360.754715
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 20}",0.207653,0.017432,362.673599
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 50}",0.202394,0.011230,368.246727
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 10}",0.202970,0.018181,366.873422
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 20}",0.199121,0.013934,371.732628
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 50}",0.198618,0.009193,378.309331
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 10}",0.212921,0.019958,366.427222
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 20}",0.201483,0.013339,368.690081
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 50}",0.197727,0.018575,373.727009
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 10}",0.199488,0.018897,375.333696
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 20}",0.189525,0.007307,379.603427
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 50}",0.189588,0.010766,385.475919
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 10}",0.191680,0.012773,381.045379
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 20}",0.184765,0.013964,387.106789
lightgbm,"{'n_estimators': 800, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 50}",0.180992,0.007511,397.123777
ridge,{'alpha': 0.1},0.185166,0.049583,359.544887
ridge,{'alpha': 1.0},0.185228,0.049475,355.932277
ridge,{'alpha': 10.0},0.194681,0.033545,345.773050
ridge,{'alpha': 100.0},0.202226,0.024145,341.270673
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1}",0.110428,0.024132,326.230526
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5}",0.217528,0.016908,321.786717
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 10}",0.234861,0.015292,319.506393
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1}",0.144706,0.027571,325.537587
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 5}",0.218719,0.011713,324.378183
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 10}",0.237580,0.015060,320.889363
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 1}",0.169483,0.010810,324.251173
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 5}",0.215563,0.010369,328.049132
xgboost,"{'n_estimators': 100, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 10}",0.239121,0.012059,323.457061
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1}",0.166776,0.008881,325.587588
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5}",0.209692,0.016275,336.084529
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10}",0.232505,0.013232,330.211532
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1}",0.163874,0.013311,324.586229
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5}",0.209169,0.013281,341.226312
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 10}",0.232084,0.013106,334.746656
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 1}",0.166484,0.010817,323.342469
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5}",0.209158,0.011693,345.826234
xgboost,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 10}",0.230332,0.013044,337.928971
